episodes,rewards,steps
330,0.5549999999999999,5
331,0.5549999999999999,5
332,0.5549999999999999,5
333,0.5549999999999999,5
334,0.5549999999999999,5
335,0.5549999999999999,5
336,0.5549999999999999,5
337,0.5549999999999999,5
338,0.5549999999999999,5
339,0.5549999999999999,5
340,0.5549999999999999,5
341,0.5549999999999999,5
342,0.5549999999999999,5
343,0.5549999999999999,5
344,0.5549999999999999,5
345,0.5549999999999999,5
346,0.5549999999999999,5
347,0.5549999999999999,5
348,0.5549999999999999,5
349,0.44599999999999995,6
350,0.5549999999999999,5
351,0.5549999999999999,5
352,0.5549999999999999,5
353,0.5549999999999999,5
354,0.5549999999999999,5
355,0.5549999999999999,5
356,0.5549999999999999,5
357,0.5549999999999999,5
358,0.5549999999999999,5
359,0.44599999999999995,6
360,0.5549999999999999,5
361,0.5549999999999999,5
362,0.5549999999999999,5
363,0.44599999999999995,6
364,0.5549999999999999,5
365,0.5549999999999999,5
366,0.5549999999999999,5
367,0.5549999999999999,5
368,0.5549999999999999,5
369,0.5549999999999999,5
370,0.5549999999999999,5
371,0.5549999999999999,5
372,0.5549999999999999,5
373,0.5549999999999999,5
374,0.5549999999999999,5
375,0.5549999999999999,5
376,0.5549999999999999,5
377,0.5549999999999999,5
378,0.5549999999999999,5
379,0.5549999999999999,5
380,0.5549999999999999,5
381,0.5549999999999999,5
382,0.5549999999999999,5
383,0.5549999999999999,5
384,0.5549999999999999,5
385,0.5549999999999999,5
386,0.5549999999999999,5
387,0.44599999999999995,6
388,0.5549999999999999,5
389,0.5549999999999999,5
390,0.5549999999999999,5
391,0.5549999999999999,5
392,0.5549999999999999,5
393,0.5549999999999999,5
394,0.5549999999999999,5
395,0.5549999999999999,5
396,0.5549999999999999,5
397,0.5549999999999999,5
398,0.5549999999999999,5
399,0.5549999999999999,5
400,0.5549999999999999,5
401,0.5549999999999999,5
402,0.5549999999999999,5
403,0.5549999999999999,5
404,0.5549999999999999,5
405,0.5549999999999999,5
406,0.44599999999999995,6
407,0.44599999999999995,6
408,0.5549999999999999,5
409,0.5549999999999999,5
410,0.5549999999999999,5
411,0.5549999999999999,5
412,0.5549999999999999,5
413,0.5549999999999999,5
414,0.5549999999999999,5
415,0.5549999999999999,5
416,0.5549999999999999,5
417,0.5549999999999999,5
418,0.44599999999999995,6
419,0.5549999999999999,5
420,0.5549999999999999,5
421,0.5549999999999999,5
422,0.5549999999999999,5
423,0.5549999999999999,5
424,0.44599999999999995,6
425,0.5549999999999999,5
426,0.5549999999999999,5
427,0.5549999999999999,5
428,0.5549999999999999,5
429,0.5549999999999999,5
430,0.5549999999999999,5
431,0.5549999999999999,5
432,0.5549999999999999,5
433,0.5549999999999999,5
434,0.5549999999999999,5
435,0.5549999999999999,5
436,0.5549999999999999,5
437,0.5549999999999999,5
438,0.5549999999999999,5
439,0.5549999999999999,5
440,0.44599999999999995,6
441,0.5549999999999999,5
442,0.5549999999999999,5
443,0.5549999999999999,5
444,0.5549999999999999,5
445,0.5549999999999999,5
446,0.5549999999999999,5
447,0.5549999999999999,5
448,0.5549999999999999,5
449,0.5549999999999999,5
450,0.5549999999999999,5
451,0.5549999999999999,5
452,0.5549999999999999,5
453,0.5549999999999999,5
454,0.5549999999999999,5
455,0.5549999999999999,5
456,0.5549999999999999,5
457,0.5549999999999999,5
458,0.5549999999999999,5
459,0.5549999999999999,5
460,0.5549999999999999,5
461,0.5549999999999999,5
462,0.22799999999999998,8
463,0.5549999999999999,5
